Word	Wordnet Synset	Wordnet ID	Wordnet ID2	Wordnet ID3	uniqueID
bike	bicycle, bike, wheel, cycle	n02834778	bike%1:06:00::	bike#2	bike
bikini	bikini, two-piece	n02837789	bikini%1:06:00::	bikini#1	bikini
bin	bin	n02839910	bin%1:06:00::	bin#1	bin
binder	binder, ring-binder	n02840245	binder%1:06:01::	binder#3	binder
binoculars	binoculars, field_glasses, opera_glasses	n02841315	binoculars%1:06:00::	binoculars#1	binoculars
bird	bird	n01503061	bird%1:05:00::	bird#1	bird
birdbath	birdbath	n02843158	birdbath%1:06:00::	birdbath#1	birdbath
birdcage	birdcage	n02843276	birdcage%1:06:00::	birdcage#1	birdcage
birdhouse	birdhouse	n02843684	birdhouse%1:06:00::	birdhouse#1	birdhouse
birthday cake	birthday_cake	n07629988	birthday_cake%1:13:00::	birthday_cake#1	birthday_cake
biscuit	biscuit	n07693972	biscuit%1:13:00::	biscuit#1	biscuit
bison	bison	n02410509	bison%1:05:00::	bison#1	bison
blackberry	blackberry	n07744811	blackberry%1:13:00::	blackberry#1	blackberry
blanket	blanket, cover	n02849154	blanket%1:06:00::	blanket#1	blanket
blazer	blazer, sport_jacket, sport_coat, sports_jacket, sports_coat	n02850358	blazer%1:06:00::	blazer#1	blazer
blender	blender, liquidizer, liquidiser	n02850732	blender%1:06:00::	blender#1	blender
blimp	blimp, sausage balloon, sausage	n02850950	blimp%1:06:00::	blimp#1	blimp
blind	blind, screen	n02851099	blind%1:06:00::	blind#3	blind
blinder	winker, blinker, blinder	n04593629	blinder%1:06:00::	blinder#1	blinder
blindfold	blindfold	n02851939	blindfold%1:06:00::	blindfold#1	blindfold
block	block	n02852523	block%1:06:00::	block#1	block
blouse	blouse	n02854926	blouse%1:06:00::	blouse#1	blouse
blower	blower	n02855089	blower%1:06:00::	blower#1	blower
blowfish	puffer, pufferfish, blowfish, globefish	n02655020	blowfish%1:05:00::	blowfish#2	blowfish
blowgun	blowgun, blowpipe, blowtube, blow_tube	n02855253	blowgun%1:06:00::	blowgun#1	blowgun
blowtorch	blowtorch, torch, blowlamp	n02855390	blowtorch%1:06:00::	blowtorch#1	blowtorch
blueberry	blueberry	n07743544	blueberry%1:13:00::	blueberry#2	blueberry
boa	feather_boa, boa	n03325584	boa%1:06:00::	boa#1	boa
boar	wild_boar, boar, Sus_scrofa	n02396427	boar%1:05:02::	boar#1	boar
board	board				board
board game	board_game	n00502415	board_game%1:04:00::	board_game#1	board_game
boat	boat	n02858304	boat%1:06:00::	boat#1	boat
bobsled	bobsled, bobsleigh, bob	n02860847	bob%1:06:02::	bob#3	bobsled
bok choy	bok_choy, bok_choi, pakchoi, pak_choi, Chinese_white_cabbage, Brassica_rapa_chinensis	n11879054	bok_choy%1:20:00::	bok_choy#1	bok_choy
bolo tie	bolo_tie, bolo, bola_tie, bola	n02865351	bolo%1:06:01::	bolo#1	bolo_tie
bologna	bologna, Bologna_sausage	n07676273	bologna%1:13:00::	bologna#1	bologna
bolt	bolt	n02865665	bolt%1:06:00::	bolt#6	bolt
bomb	bomb	n02866578	bomb%1:06:00::	bomb#1	bomb
bone	bone, os	n05269901	bone%1:08:00::	bone#1	bone
bongo	bongo, bongo_drum	n02869737	bongo%1:06:00::	bongo#1	bongo
bonnet	bonnet, poke_bonnet	n02869837	bonnet%1:06:00::	bonnet#1	bonnet
bonsai	bonsai	n13111881	bonsai%1:20:00::	bonsai#1	bonsai
book	book	n06410904	book%1:10:00::	book#1	book
bookmark	bookmark, bookmarker	n02871147	bookmark%1:06:00::	bookmark#1	bookmark
bookshelf	bookshelf	n02871439	bookshelf%1:06:00::	bookshelf#1	bookshelf
boomerang	boomerang, throwing_stick, throw_stick	n02871963	boomerang%1:06:00::	boomerang#1	boomerang
boot	boot	n02872752	boot%1:06:00::	boot#1	boot
bottle	bottle	n02876657	bottle%1:06:00::	bottle#1	bottle
bottle opener	bottle_opener	n02877962	bottle_opener%1:06:00::	bottle_opener#1	bottle_opener
boulder	boulder, bowlder	n09227839	boulder%1:17:00::	boulder#1	boulder
bouquet	bouquet, corsage, posy, nosegay	n02879087	bouquet%1:06:00::	bouquet#1	bouquet
bow	bow, bowknot	n02880189	bow%1:06:03::	bow#1	bow1
bow	bow	n02879718	bow%1:06:01::	bow#4	bow2
bow	bow	n02880308	bow%1:06:04::	bow#8	bow3
bowl	bowl	n02881193	bowl%1:06:01::	bowl#1	bowl
bowler hat	bowler_hat, bowler, derby_hat, derby, plug_hat	n02881757	bowler%1:06:00::	bowler#3	bowler_hat
bowling ball	bowling_ball, bowl	n02882301	bowl%1:06:05::	bowl#6	bowling_ball
bowtie	bow_tie, bow-tie, bowtie	n02883205	bowtie%1:06:00::	bowtie#1	bowtie
box	box	n02883344	box%1:06:00::	box#1	box
boxer shorts	drawers, underdrawers, shorts, boxers, boxershorts	n03234164	boxers%1:06:00::	boxers#1	boxer_shorts
boxing gloves	boxing_glove, glove	n02885462	boxing_glove%1:06:00::	boxing_glove#1	boxing_gloves
boy	male_child, boy	n10285313	boy%1:18:00::	boy#1	boy
bra	brassiere, bra, bandea]	n02892767	bra%1:06:00::	bra#1	bra
brace	brace	n02887209	brace%1:06:04::	brace#1	brace
bracelet	watchband, watchstrap, wristband, watch_bracelet, bracelet	n04556204	bracelet%1:06:01::	bracelet#1	bracelet1
bracelet	bracelet, bangle	n02887970	bracelet%1:06:00::	bracelet#2	bracelet2
bracket	bracket, wall_bracket	n02888569	bracket%1:06:00::	bracket#4	bracket
braid	braid, plait, tress, twist	n05259512	braid%1:08:00::	braid#1	braid
brake	brake	n02889425	brake%1:06:00::	brake#1	brake
branch	branch	n13163250	branch%1:20:00::	branch#2	branch
brass knuckles	brass_knucks, knucks, brass_knuckles, knuckles, knuckle_duster	n02892948	brass_knuckles%1:06:00::	brass_knuckles#1	brass_knuckles
bread	bread, breadstuff, staff_of_life	n07679356	bread%1:13:00::	bread#1	bread
breadbox	bread-bin, breadbox	n02893692	breadbox%1:06:00::	breadbox#1	breadbox
breadstick	breadstick, bread-stick	n07680517	breadstick%1:13:00::	breadstick#1	breadstick
breakfast	breakfast	n07574602	breakfast%1:13:00::	breakfast#1	breakfast
breathalyzer	breathalyzer, breathalyser	n02895438	breathalyzer%1:06:00::	breathalyzer#1	breathalyzer
brick	brick	n02897820	brick%1:06:00::	brick#1	brick
briefcase	briefcase	n02900705	briefcase%1:06:00::	briefcase#1	briefcase
broccoli	broccoli, Brassica_oleracea_italica	n11876803	broccoli%1:20:00::	broccoli#1	broccoli
brooch	brooch, broach, breastpin	n02906438	brooch%1:06:00::	brooch#1	brooch
broom	broom	n02906734	broom%1:06:00::	broom#1	broom
brownie	brownie	n07636271	brownie%1:13:00::	brownie#2	brownie
brush	brush	n02908217	brush%1:06:00::	brush#2	brush
brussels sprouts	brussels_sprouts	n07715221	brussels_sprouts%1:13:00::	brussels_sprouts#1	brussels_sprouts
bubble	bubble	n09229709	bubble%1:17:00::	bubble#1	bubble
bubble wrap	bubble_wrap, bubble_pack, bubble_film				bubble_wrap
bucket	bucket, pail	n02909870	bucket%1:06:00::	bucket#1	bucket
buckle	buckle	n02910353	buckle%1:06:00::	buckle#1	buckle
buffet	buffet	n07576182	buffet%1:13:00::	buffet#2	buffet
bug	bug	n02236355	bug%1:05:02::	bug#1	bug
buggy	buggy				buggy
bull	bull	n02403325	bull%1:05:01::	bull#1	bull
bulldozer	bulldozer, dozer	n02916179	bulldozer%1:06:00::	bulldozer#1	bulldozer
bullet	bullet, slug	n02916350	bullet%1:06:00::	bullet#1	bullet
